Z,Element_Name,Ionization_eV,Waveform
33,Arsenic,9.78855,"0.000000,0.004098,0.008197,0.012295,0.016393,0.020491,0.024589,0.028686,0.032782,0.036878,0.040973,0.045068,0.049162,0.053255,0.057347,0.061439,0.065529,0.069618,0.073706,0.077793,0.081878,0.085962,0.090045,0.094126,0.098205,0.102283,0.106359,0.110434,0.114506,0.118577,0.122645,0.126712,0.130776,0.134838,0.138898,0.142956,0.147011,0.151064,0.155114,0.159162,0.163207,0.167249,0.171288,0.175325,0.179358,0.183389,0.187416,0.191440,0.195461,0.199479"
34,Selenium,9.752368,"0.000000,0.004106,0.008212,0.012318,0.016424,0.020529,0.024634,0.028739,0.032843,0.036946,0.041049,0.045152,0.049253,0.053354,0.057454,0.061552,0.065650,0.069747,0.073842,0.077937,0.082030,0.086121,0.090211,0.094300,0.098387,0.102472,0.106556,0.110638,0.114717,0.118795,0.122871,0.126945,0.131017,0.135087,0.139154,0.143219,0.147282,0.151342,0.155399,0.159454,0.163506,0.167556,0.171602,0.175646,0.179687,0.183725,0.187759,0.191791,0.195819,0.199844"
35,Bromine,11.81381,"0.000000,0.003731,0.007461,0.011192,0.014922,0.018652,0.022382,0.026112,0.029841,0.033570,0.037298,0.041026,0.044753,0.048480,0.052206,0.055931,0.059656,0.063379,0.067102,0.070824,0.074545,0.078264,0.081983,0.085701,0.089417,0.093132,0.096846,0.100558,0.104269,0.107979,0.111687,0.115394,0.119099,0.122802,0.126503,0.130203,0.133901,0.137597,0.141292,0.144984,0.148674,0.152362,0.156048,0.159732,0.163414,0.167093,0.170770,0.174445,0.178117,0.181787"
36,Krypton,13.9996055,"0.000000,0.003427,0.006854,0.010281,0.013708,0.017135,0.020561,0.023987,0.027413,0.030839,0.034264,0.037689,0.041114,0.044537,0.047961,0.051384,0.054806,0.058228,0.061649,0.065069,0.068488,0.071907,0.075325,0.078742,0.082158,0.085573,0.088987,0.092400,0.095811,0.099222,0.102632,0.106040,0.109447,0.112853,0.116258,0.119661,0.123063,0.126463,0.129862,0.133259,0.136655,0.140049,0.143441,0.146832,0.150221,0.153609,0.156994,0.160378,0.163760,0.167139"
37,Rubidium,4.1771281,"0.000000,0.006274,0.012548,0.018821,0.025093,0.031365,0.037635,0.043904,0.050171,0.056436,0.062699,0.068959,0.075217,0.081472,0.087723,0.093971,0.100216,0.106456,0.112692,0.118924,0.125151,0.131373,0.137590,0.143802,0.150008,0.156208,0.162402,0.168589,0.174770,0.180944,0.187111,0.193270,0.199422,0.205566,0.211702,0.217830,0.223949,0.230059,0.236160,0.242252,0.248334,0.254407,0.260469,0.266522,0.272563,0.278594,0.284614,0.290623,0.296621,0.302607"
38,Strontium,5.69486745,"0.000000,0.005373,0.010746,0.016119,0.021492,0.026863,0.032234,0.037604,0.042973,0.048341,0.053707,0.059072,0.064435,0.069796,0.075155,0.080512,0.085867,0.091219,0.096569,0.101916,0.107259,0.112600,0.117938,0.123272,0.128602,0.133929,0.139252,0.144571,0.149886,0.155196,0.160502,0.165803,0.171100,0.176392,0.181678,0.186959,0.192235,0.197505,0.202770,0.208029,0.213281,0.218528,0.223768,0.229002,0.234229,0.239450,0.244663,0.249870,0.255069,0.260261"
39,Yttrium,6.21726,"0.000000,0.005143,0.010285,0.015427,0.020569,0.025710,0.030851,0.035991,0.041129,0.046267,0.051404,0.056539,0.061672,0.066804,0.071934,0.077063,0.082189,0.087313,0.092435,0.097554,0.102671,0.107785,0.112896,0.118005,0.123110,0.128212,0.133310,0.138405,0.143496,0.148584,0.153667,0.158747,0.163822,0.168893,0.173959,0.179021,0.184078,0.189131,0.194178,0.199220,0.204257,0.209289,0.214314,0.219335,0.224349,0.229358,0.234360,0.239357,0.244346,0.249330"
40,Zirconium,6.634126,"0.000000,0.004978,0.009957,0.014935,0.019912,0.024890,0.029866,0.034842,0.039817,0.044791,0.049764,0.054735,0.059706,0.064674,0.069642,0.074607,0.079571,0.084532,0.089492,0.094449,0.099404,0.104357,0.109306,0.114254,0.119198,0.124140,0.129078,0.134013,0.138945,0.143873,0.148798,0.153719,0.158637,0.163550,0.168459,0.173364,0.178265,0.183162,0.188054,0.192941,0.197823,0.202701,0.207574,0.212441,0.217303,0.222160,0.227011,0.231857,0.236697,0.241531"
41,Niobium,6.75885,"0.000000,0.004932,0.009864,0.014796,0.019728,0.024659,0.029589,0.034519,0.039448,0.044376,0.049303,0.054228,0.059153,0.064076,0.068997,0.073917,0.078835,0.083750,0.088664,0.093576,0.098486,0.103393,0.108297,0.113199,0.118098,0.122995,0.127888,0.132778,0.137665,0.142549,0.147429,0.152305,0.157178,0.162047,0.166912,0.171774,0.176630,0.181483,0.186331,0.191175,0.196014,0.200848,0.205677,0.210501,0.215321,0.220135,0.224943,0.229746,0.234544,0.239336"
42,Molybdenum,7.09243,"0.000000,0.004815,0.009630,0.014444,0.019258,0.024072,0.028885,0.033698,0.038510,0.043320,0.048130,0.052939,0.057747,0.062553,0.067357,0.072161,0.076962,0.081762,0.086560,0.091355,0.096149,0.100940,0.105730,0.110516,0.115300,0.120082,0.124860,0.129636,0.134409,0.139178,0.143945,0.148708,0.153468,0.158224,0.162976,0.167725,0.172469,0.177210,0.181947,0.186679,0.191407,0.196131,0.200850,0.205564,0.210274,0.214979,0.219678,0.224373,0.229063,0.233747"
43,Technetium,7.11938,"0.000000,0.004806,0.009611,0.014417,0.019222,0.024027,0.028831,0.033634,0.038437,0.043238,0.048039,0.052839,0.057637,0.062434,0.067230,0.072024,0.076817,0.081607,0.086396,0.091183,0.095967,0.100750,0.105530,0.110308,0.115083,0.119855,0.124625,0.129392,0.134156,0.138917,0.143674,0.148428,0.153179,0.157926,0.162670,0.167410,0.172146,0.176878,0.181606,0.186330,0.191049,0.195764,0.200474,0.205180,0.209881,0.214578,0.219269,0.223955,0.228636,0.233312"
44,Ruthenium,7.3605,"0.000000,0.004726,0.009453,0.014179,0.018904,0.023630,0.028355,0.033079,0.037802,0.042525,0.047246,0.051967,0.056686,0.061404,0.066121,0.070837,0.075550,0.080262,0.084973,0.089681,0.094387,0.099091,0.103793,0.108493,0.113190,0.117885,0.122577,0.127267,0.131953,0.136637,0.141317,0.145995,0.150669,0.155339,0.160007,0.164670,0.169330,0.173987,0.178639,0.183287,0.187932,0.192572,0.197207,0.201839,0.206466,0.211088,0.215705,0.220318,0.224926,0.229529"
45,Rhodium,7.4589,"0.000000,0.004695,0.009390,0.014085,0.018779,0.023473,0.028167,0.032860,0.037552,0.042243,0.046934,0.051623,0.056312,0.060999,0.065684,0.070369,0.075051,0.079732,0.084412,0.089089,0.093764,0.098438,0.103109,0.107778,0.112444,0.117109,0.121770,0.126429,0.131085,0.135738,0.140388,0.145035,0.149679,0.154320,0.158957,0.163590,0.168221,0.172847,0.177469,0.182088,0.186703,0.191313,0.195919,0.200521,0.205119,0.209712,0.214300,0.218884,0.223463,0.228037"
46,Palladium,8.336839,"0.000000,0.004441,0.008882,0.013323,0.017763,0.022203,0.026643,0.031082,0.035521,0.039959,0.044396,0.048832,0.053267,0.057701,0.062134,0.066566,0.070997,0.075426,0.079853,0.084279,0.088704,0.093126,0.097547,0.101966,0.106383,0.110798,0.115210,0.119621,0.124028,0.128434,0.132837,0.137237,0.141635,0.146030,0.150422,0.154811,0.159197,0.163579,0.167959,0.172335,0.176708,0.181078,0.185443,0.189805,0.194164,0.198518,0.202869,0.207216,0.211558,0.215897"
47,Silver,7.576234,"0.000000,0.004659,0.009317,0.013975,0.018633,0.023291,0.027948,0.032605,0.037260,0.041915,0.046569,0.051222,0.055874,0.060525,0.065174,0.069822,0.074469,0.079114,0.083757,0.088398,0.093038,0.097675,0.102310,0.106943,0.111574,0.116202,0.120828,0.125451,0.130072,0.134689,0.139304,0.143916,0.148524,0.153130,0.157732,0.162330,0.166925,0.171517,0.176104,0.180688,0.185268,0.189844,0.194416,0.198984,0.203547,0.208106,0.212660,0.217210,0.221755,0.226295"
48,Cadmium,8.99382,"0.000000,0.004276,0.008551,0.012827,0.017102,0.021377,0.025652,0.029926,0.034199,0.038472,0.042744,0.047016,0.051286,0.055556,0.059825,0.064092,0.068359,0.072624,0.076887,0.081150,0.085411,0.089670,0.093928,0.098184,0.102438,0.106690,0.110941,0.115189,0.119435,0.123679,0.127921,0.132160,0.136397,0.140632,0.144864,0.149093,0.153320,0.157543,0.161764,0.165982,0.170197,0.174409,0.178618,0.182823,0.187025,0.191223,0.195419,0.199610,0.203798,0.207982"
