Reynolds_Number,Lambda_0,Lambda_1,L1_Norm_Laminar,L1_Norm_Sharded,Eigenvalue_Gap
2919517.259958067,0.003119337,0.034976556609071514,1.5207003734942721,1.5207003734942721,0.031857219609071515
2921975.8008085582,0.003119337,0.034956921957216114,1.5213639625753832,1.5213639625753832,0.031837584957216114
2924434.341659049,0.003119337,0.034937275188941436,1.5220282980324664,1.5220282980324664,0.031817938188941436
2926892.88250954,0.003119337,0.03491761628178885,1.5226933817564614,1.5226933817564614,0.03179827928178885
2929351.423360031,0.003119337,0.034897945213230246,1.5233592156452858,1.5233592156452858,0.031778608213230246
2931809.964210522,0.003119337,0.03487826196066781,1.5240258016038686,1.5240258016038686,0.03175892496066781
2934268.505061013,0.003119337,0.03485856650143359,1.5246931415441878,1.5246931415441878,0.03173922950143359
2936727.045911504,0.003119337,0.0348388588127893,1.525361237385302,1.525361237385302,0.0317195218127893
2939185.586761995,0.003119337,0.03481913887192595,1.5260300910533882,1.5260300910533882,0.03169980187192595
2941644.127612486,0.003119337,0.034799406655963566,1.5266997044817763,1.5266997044817763,0.031680069655963566
2944102.6684629773,0.003119337,0.03477966214195088,1.5273700796109855,1.5273700796109855,0.03166032514195088
2946561.209313468,0.003119337,0.03475990530686501,1.5280412183887588,1.5280412183887588,0.03164056830686501
2949019.7501639593,0.003119337,0.034740136127611156,1.5287131227701012,1.5287131227701012,0.031620799127611156
2951478.29101445,0.003119337,0.03472035458102226,1.529385794717314,1.529385794717314,0.03160101758102226
2953936.831864941,0.003119337,0.034700560643858736,1.5300592362000336,1.5300592362000336,0.031581223643858736
2956395.372715432,0.003119337,0.034680754292808084,1.5307334491952667,1.5307334491952667,0.031561417292808085
2958853.913565923,0.003119337,0.034660935504484666,1.5314084356874278,1.5314084356874278,0.031541598504484666
2961312.4544164143,0.003119337,0.03464110425542927,1.5320841976683772,1.5320841976683772,0.03152176725542927
2963770.995266905,0.003119337,0.03462126052210888,1.5327607371374572,1.5327607371374572,0.03150192352210888
2966229.5361173963,0.003119337,0.034601404280916286,1.533438056101532,1.533438056101532,0.031482067280916286
2968688.076967887,0.003119337,0.03458153550816983,1.5341161565750228,1.5341161565750228,0.03146219850816983
2971146.617818378,0.003119337,0.03456165418011298,1.534795040579949,1.534795040579949,0.03144231718011298
2973605.158668869,0.003119337,0.03454176027291406,1.535474710145966,1.535474710145966,0.03142242327291406
2976063.69951936,0.003119337,0.034521853762665936,1.5361551673104015,1.5361551673104015,0.031402516762665936
2978522.2403698512,0.003119337,0.03450193462538561,1.536836414118298,1.536836414118298,0.03138259762538561
2980980.781220342,0.003119337,0.034482002837013956,1.5375184526224501,1.5375184526224501,0.031362665837013956
2983439.3220708333,0.003119337,0.03446205837341532,1.5382012848834443,1.5382012848834443,0.03134272137341532
