Re,eta_classical,eta_uft
710727.9696773412,0.013301554821722515,0.013301554821722515
723968.1140910877,0.013118687433488013,0.013118687433488013
737454.9090259547,0.012938334073284683,0.012938334073284683
751192.9493320968,0.012760460178706348,0.012760460178706348
765186.9154570817,0.012585031662504662,0.012585031662504662
779441.5750404951,0.012412014906056585,0.012412014906056585
793961.7845382276,0.012241376752921935,0.012241376752921935
808752.4908770458,0.012073084502489253,0.012073084502489253
823818.7331399601,0.011907105903709289,0.011907105903709289
839165.6442830161,0.011743409148914351,0.011743409148914351
854798.4528840405,0.011581962867722931,0.011581962867722931
870722.4849239922,0.011422736121027826,0.011422736121027826
886943.1656014704,0.011265698395067192,0.011265698395067192
903466.0211810534,0.011110819595576835,0.011110819595576835
920296.680876041,0.010958070042023177,0.010958070042023177
937440.8787662982,0.010807420461915232,0.010807420461915232
954904.4557518078,0.010658841985194975,0.010658841985194975
972693.3615426179,0.010512306138704778,0.010512306138704778
990813.6566858666,0.010367784840730884,0.010367784840730884
1009271.5146305697,0.010225250395621856,0.010225250395621856
1028073.2238308648,0.010084675488481113,0.010084675488481113
1047225.1898884354,0.009946033179932388,0.009946033179932388
