mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12
-0.02295833589943941,0.016043366858831846,-0.03244266871852841,-0.02106817901179007,0.027829028886931256,0.02786329712588431,0.008767212550958284,-0.032009546200462514,-0.02448394366805018,-0.025638872025829186,-0.025638872025829186,-0.022683822952587234
-0.023271943871812636,0.01632250328729346,-0.03289612491557217,-0.02147050550080415,0.028176561955901697,0.028231509491627223,0.008754229713488755,-0.032571177786518524,-0.025036337592278565,-0.02611516752427027,-0.02611516752427027,-0.023170369614335756
-0.023582246434212747,0.016599213503724675,-0.0333446913617846,-0.021869230553235638,0.028519368722503012,0.028594165117837314,0.008739523802219344,-0.03312529731857812,-0.02558295726047313,-0.02658468043092435,-0.02658468043092435,-0.023650622483314836
-0.023888648661031332,0.016873068640261696,-0.03378752249060634,-0.022263776449295645,0.028856725507624373,0.02895052469961814,0.008722893567231509,-0.03367100323137214,-0.02612307901681473,-0.027046667819412507,-0.027046667819412507,-0.02412389865867546
-0.024190917531138643,0.017143892799793618,-0.03422428423122591,-0.022653897850655434,0.029188347577012604,0.02930028878928263,0.008704276087578962,-0.034207899904946784,-0.02665636627373203,-0.02750079246176492,-0.02750079246176492,-0.024589874388679014
-0.02448890695302554,0.017411570864122282,-0.03465476543464754,-0.023039429396305693,0.029514055860408762,0.029643264102973316,0.008683641857142835,-0.03473571424449746,-0.02718257615895922,-0.02794681571531666,-0.02794681571531666,-0.02504831332042777
-0.02478207671005897,0.01767570709869667,-0.03507819722935659,-0.023419834327970544,0.029833196829617836,0.029978781065173314,0.008660822791292832,-0.03525361462833739,-0.027701027837337605,-0.02838404984913617,-0.02838404984913617,-0.0254985763048563
-0.025070011934957764,0.01793599302454531,-0.0354939879216128,-0.023794690464562684,0.030145269503925105,0.030306323193272127,0.008635699808389373,-0.03576094515378625,-0.028211174099530775,-0.028811948274013326,-0.028811948274013326,-0.025940148877966352
-0.025352639008653748,0.018192362785383966,-0.03590202881638726,-0.02416389684298228,0.03045018455275327,0.030625787881522686,0.00860827518218521,-0.036257535451855415,-0.02871284758721597,-0.029230355539925874,-0.029230355539925874,-0.02637286729826656
-0.02562959864753801,0.018444545533655318,-0.0363018067797543,-0.02452708039791936,0.0307475099281209,0.03093672826040307,0.00857845454902476,-0.0367428081388656,-0.02920555850098823,-0.029638788574079575,-0.029638788574079575,-0.026796272373843976
-0.025900350636330473,0.018692139014677953,-0.03669255233336977,-0.024883692879048916,0.031036597708395234,0.031238480438665554,0.008546086116991747,-0.037215926040759434,-0.02968860800601782,-0.03003655488492739,-0.03003655488492739,-0.027209714507776175
-0.026164746831116314,0.018935022036164567,-0.03707405128428785,-0.025233559420836146,0.03131727150419599,0.03153085521282412,0.008511152255978496,-0.03767661400844976,-0.030161741663630486,-0.030423415568465183,-0.030423415568465183,-0.027612953240809143
-0.02642263569838963,0.019173070682189524,-0.037446084712354194,-0.02557650160654928,0.031589351508865215,0.03181366039192751,0.008473635265519244,-0.03812459339729251,-0.0306247015600864,-0.03079912940783467,-0.03079912940783467,-0.028005745913613232
-0.026673492661514586,0.0194058900676421,-0.03780790510059858,-0.025911979635717435,0.031852212587958076,0.0320862557631867,0.008433398871296544,-0.03855904874551879,-0.03107679787293762,-0.031163022042652835,-0.031163022042652835,-0.02838745590631826
-0.02691700418933285,0.019633237159570938,-0.03815906398589153,-0.026239655878618155,0.03210548334789154,0.03234825699747532,0.008390377964495365,-0.03897946920809982,-0.03151758272146202,-0.03151466549996167,-0.03151466549996167,-0.02875766953839902
-0.02715314025442577,0.01985507485886971,-0.03849951484254006,-0.02655946777558699,0.03234913170162718,0.032599622091816854,0.008344598292848228,-0.03938575538538836,-0.03194693902785977,-0.03185396491699513,-0.03185396491699513,-0.029116276444554175
-0.0273815348227518,0.020071120573457453,-0.03882873488777415,-0.02687102473236992,0.032582725631474484,0.032839906624005676,0.008295982304885183,-0.039777322872609065,-0.03236435657392229,-0.03218043389470573,-0.03218043389470573,-0.029462808772603138
-0.027601730071821245,0.020281023419908988,-0.03914607120198103,-0.02717384452972993,0.03280572523263134,0.033068557931659734,0.008244427544105494,-0.040153454852195895,-0.03276921519854725,-0.0324934794029774,-0.0324934794029774,-0.029796700259209444
-0.027813671840218743,0.020484727808645995,-0.03945144336319563,-0.0274678402981488,0.03301807199191338,0.033285509124873616,0.008189955790514469,-0.04051402249710511,-0.03316137177712525,-0.03279298472300467,-0.03279298472300467,-0.0301178203620444
-0.028017213827590946,0.020682110407350848,-0.03974464041797342,-0.027752834675471783,0.03321959851283681,0.033490584203786464,0.00813256189892319,-0.04085876525256787,-0.033540575432001445,-0.03307872727841228,-0.03307872727841228,-0.030425941648276694
-0.028211875944341776,0.020872801279797803,-0.04002497803777715,-0.0280283195978641,0.033409742402812484,0.03368320959860337,0.008072144834432693,-0.041186937969380166,-0.03390617689826921,-0.033350092900781926,-0.033350092900781926,-0.03072047652354342
-0.028397463961680473,0.021056640672791994,-0.040292177492227514,-0.028294069001332207,0.033588281559286705,0.033863155468572215,0.008008689135494405,-0.04149821407364877,-0.034257868626107114,-0.03360680697717974,-0.03360680697717974,-0.031001149149473863
-0.02857399595009137,0.02123362590242151,-0.04054626140886862,-0.028550068059024034,0.03375524594511854,0.03403044680624064,0.007942240619910591,-0.04179257950497109,-0.034595600148063524,-0.033848848754982064,-0.033848848754982064,-0.03126791776900433
-0.02874112097265563,0.02140348040783149,-0.04078672898840627,-0.02879593415811643,0.033910229956368915,0.03418467019096659,0.007872742222928813,-0.04206948336472932,-0.03491887710523963,-0.03407576352991037,-0.03407576352991037,-0.03152034031776261
-0.028898489792615202,0.021565928045161487,-0.04101308195128861,-0.02903128525815027,0.03405283145437537,0.0343254164584911,0.0078001400408574005,-0.042328379301831795,-0.03522720697041843,-0.034287101067630055,-0.034287101067630055,-0.03175797831434762
-0.029046147845585023,0.02172098636966772,-0.04122538226168305,-0.029256134728212802,0.034183114853744374,0.0344527475391768,0.007724489379064331,-0.042569301290344815,-0.035520578266016484,-0.03448288204600825,-0.03448288204600825,-0.031980828931361935
-0.029183964773263037,0.021868541873743378,-0.04142344258154377,-0.02947031990796121,0.03430093800626081,0.03456651789934946,0.007645798331552909,-0.04279202869571161,-0.03579876767948166,-0.03466292178291654,-0.03466292178291654,-0.03218869950511181
